country_code,country_name,year,wb_region,wb_income_group,overall_mobility_score,legal_frameworks_score,law_can_choose_where_to_live,law_can_travel_internationally,law_can_leave_marital_home,law_equal_citizenship_rights,supportive_frameworks_score,sfr_equal_id_document_process,sfr_equal_passport_process,sfr_gender_sensitive_transport_policy,sfr_free_from_govt_mobility_constraints,enforcement_perceptions_score,enf_right_to_choose_where_to_live,enf_right_to_travel_internationally,enf_right_to_leave_marital_home,enf_equal_citizenship_rights,has_enforcement_data
PRY,Paraguay,2026,Latin America & Caribbean,Upper middle income,87.5,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,87.5,3.5,3.5,3.5,3.5,1
UZB,Uzbekistan,2026,Europe & Central Asia,Lower middle income,87.5,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,87.5,3.0,4.0,3.0,4.0,1
SVK,Slovak Republic,2026,Europe & Central Asia,High income,87.5,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,,,,,,0
MNE,Montenegro,2026,Europe & Central Asia,Upper middle income,87.5,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,,,,,,0
NZL,New Zealand,2026,East Asia & Pacific,High income,87.5,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,,,,,,0
IDN,Indonesia,2026,East Asia & Pacific,Upper middle income,87.5,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,87.5,3.0,4.0,4.0,3.0,1
PLW,Palau,2026,East Asia & Pacific,High income,87.5,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,,,,,,0
KAZ,Kazakhstan,2026,Europe & Central Asia,Upper middle income,87.5,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,,,,,,0
LUX,Luxembourg,2026,Europe & Central Asia,High income,87.5,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,,,,,,0
KOR,"Korea, Rep.",2026,East Asia & Pacific,High income,87.5,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,,,,,,0
